119,20,,,,,3-0/25-21/25-23/25-20/0-0/0-0,0,
120,20,,,,,2-3/23-25/25-20/21-25/25-22/13-15,0,
121,21,,,,,3-0/25-12/25-18/25-14/0-0/0-0,0,
122,21,,,,,0-3/19-25/26-28/20-25/0-0/0-0,0,
123,21,,,,,0-3/22-25/20-25/20-25/0-0/0-0,0,
124,21,,,,,3-0/25-18/25-16/25-16/0-0/0-0,0,
125,21,,,,,3-2/25-12/21-25/19-25/25-10/15-10,0,
126,21,,,,,0-3/15-25/24-26/20-25/0-0/0-0,0,
127,22,,,,,3-0/25-22/25-19/25-14/0-0/0-0,0,
128,22,,,,,3-0/25-9/25-14/25-15/0-0/0-0,0,
129,22,,,,,3-0/25-12/25-23/25-14/0-0/0-0,0,
130,22,,,,,3-1/25-18/20-25/25-22/25-15/0-0,0,
131,22,,,,,3-2/27-25/15-25/19-25/25-20/15-8,0,
132,22,,,,,3-2/19-25/25-15/33-35/25-15/15-13,0,
